award_row_id,publication_number,winner_position,publication_date,overview_publication_date,publication_year,publication_month,publication_type,related_notice_number,project_id,project_url,source_url,title,procurement_type,procurement_office,procurement_office_address,procurement_office_street,procurement_office_postal_code,procurement_office_city,procurement_office_region,winner_name,winner_address,winner_street,winner_postal_code,winner_city,winner_region,award_amount_chf,vat_percent,offers_count,cpv_codes,cpv_primary,cpv_count,is_multi_award,has_winner_address,has_procurement_office_address,has_award_amount,has_vat_percent,created_at,updated_at
27029-02::1,27029-02,1,01.03.2026,01.03.2026,2026,3,Zuschlag,27029-01,33303e74-e4a7-4b65-ac2e-97a5f027aed4,https://www.simap.ch/api/publications/v1/project/33303e74-e4a7-4b65-ac2e-97a5f027aed4/publication-details/ec698527-ed10-4e76-ae4e-606f8a5bbbef?lang=de,https://www.simap.ch/api/publications/v1/project/33303e74-e4a7-4b65-ac2e-97a5f027aed4/publication-details/ec698527-ed10-4e76-ae4e-606f8a5bbbef?lang=de,Beschaffung SPECT-CT,Lieferung,Insel Gruppe AG,"Güterstrasse, 3008 Bern, BE, CH",Güterstrasse,3008,Bern,"BE, CH",Spectrum Dynamics Medical SA,"Rue de Lausanne 31, 1110 Morges, VD, CH",Rue de Lausanne 31,1110,Morges,"VD, CH",1863390.0,,2,33110000,33110000,1,False,True,True,True,False,2026-03-01T18:49:49.229921+00:00,2026-03-01T18:49:49.229921+00:00
26660-02::1,26660-02,1,01.03.2026,01.03.2026,2026,3,Zuschlag,26660-01,a70bf817-e68a-4277-b87a-1815aeecd34e,https://www.simap.ch/api/publications/v1/project/a70bf817-e68a-4277-b87a-1815aeecd34e/publication-details/aff6af37-ed1e-4052-a632-1423c32c26ff?lang=de,https://www.simap.ch/api/publications/v1/project/a70bf817-e68a-4277-b87a-1815aeecd34e/publication-details/aff6af37-ed1e-4052-a632-1423c32c26ff?lang=de,"Freibad Marzili, Gesamtsanierung und Erneuerung, 423 Holzpritschen, 273 Schreinerarbeiten",Bauleistung,Fachstelle Beschaffungswesen Stadt Bern,"Bundesgasse 33, 3011 Bern, BE, CH",Bundesgasse 33,3011,Bern,"BE, CH",Wirz Holzbau AG,"Freiburgstrasse 359, 3018 Bern, BE, CH",Freiburgstrasse 359,3018,Bern,"BE, CH",484518.95,,2,45422000,45422000,1,False,True,True,True,False,2026-03-01T18:49:49.165141+00:00,2026-03-01T18:49:49.165141+00:00
24025-03::1,24025-03,1,01.03.2026,01.03.2026,2026,3,Zuschlag,24025-02,9ca7ad6a-9e96-485b-ad12-72c514a49f88,https://www.simap.ch/api/publications/v1/project/9ca7ad6a-9e96-485b-ad12-72c514a49f88/publication-details/5d4122bf-7340-4ae6-b61f-7089b22d0980?lang=de,https://www.simap.ch/api/publications/v1/project/9ca7ad6a-9e96-485b-ad12-72c514a49f88/publication-details/5d4122bf-7340-4ae6-b61f-7089b22d0980?lang=de,"VS Schwabgut, Gesamtsanierung, BKP 272.2 Allgemeine Metallbauarbeiten",Bauleistung,Fachstelle Beschaffungswesen Stadt Bern,"Bundesgasse 33, 3011 Bern, BE, CH",Bundesgasse 33,3011,Bern,"BE, CH",Karl Zimmermann AG,"Normannenstrasse 12, 3018 Bern, BE, CH",Normannenstrasse 12,3018,Bern,"BE, CH",765237.2,,4,45000000,45000000,1,False,True,True,True,False,2026-03-01T18:49:49.247622+00:00,2026-03-01T18:49:49.247622+00:00
23905-02::1,23905-02,1,01.03.2026,01.03.2026,2026,3,Zuschlag,23905-01,f6ae1829-7fa4-46bf-a2b3-c316a044780c,https://www.simap.ch/api/publications/v1/project/f6ae1829-7fa4-46bf-a2b3-c316a044780c/publication-details/90cb67f8-d6e4-491b-a2eb-8b5c392be22a?lang=de,https://www.simap.ch/api/publications/v1/project/f6ae1829-7fa4-46bf-a2b3-c316a044780c/publication-details/90cb67f8-d6e4-491b-a2eb-8b5c392be22a?lang=de,"Fernwärmenetz, Ausbau Fernwärmenetz Stadt Bern: Aufwertungsmassnahmen im Strassenraum, Los 3 + 4",Dienstleistung,Fachstelle Beschaffungswesen,"Bundesgasse 33, 3011 Bern, BE, CH",Bundesgasse 33,3011,Bern,"BE, CH",Gruner AG,"St.Jakobs-Str. 199, 4052 Basel, BS, CH",St.Jakobs-Str. 199,4052,Basel,"BS, CH",814196.25,,6,71322000,71322000,1,False,True,True,True,False,2026-03-01T18:49:49.103577+00:00,2026-03-01T18:49:49.103577+00:00
23902-02::1,23902-02,1,01.03.2026,01.03.2026,2026,3,Zuschlag,23902-01,2b8ca918-502f-46f1-9584-e6ff09593caf,https://www.simap.ch/api/publications/v1/project/2b8ca918-502f-46f1-9584-e6ff09593caf/publication-details/0b552997-4c09-4c67-b48d-3510a0b7208e?lang=de,https://www.simap.ch/api/publications/v1/project/2b8ca918-502f-46f1-9584-e6ff09593caf/publication-details/0b552997-4c09-4c67-b48d-3510a0b7208e?lang=de,"Fahrzeuge / Maschinen, Transportfahrzeuge, 707 Fahrzeuge, Gitteraufbau und elektrischem Antrieb (8 Fahrzeuge)",Lieferung,Fachstelle Beschaffungswesen Stadt Bern,"Bundesgasse 33, 3011 Bern, BE, CH",Bundesgasse 33,3011,Bern,"BE, CH",Robert Aebi Landtechnik AG,"Riedthofstrasse 100, 8105 Regensdorf, ZH, CH",Riedthofstrasse 100,8105,Regensdorf,"ZH, CH",289059.4,,1,34144900,34144900,1,False,True,True,True,False,2026-03-01T18:49:49.136937+00:00,2026-03-01T18:49:49.136937+00:00
23649-02::1,23649-02,1,01.03.2026,01.03.2026,2026,3,Zuschlag,23649-01,49cfd4d7-b0de-4d63-b46f-a322863d715d,https://www.simap.ch/api/publications/v1/project/49cfd4d7-b0de-4d63-b46f-a322863d715d/publication-details/29945247-5015-4849-956a-2324f385fdc3?lang=de,https://www.simap.ch/api/publications/v1/project/49cfd4d7-b0de-4d63-b46f-a322863d715d/publication-details/29945247-5015-4849-956a-2324f385fdc3?lang=de,"VS Weissenbühl, Neubau, BKP 281.2 Bodenbeläge in Textilien + Lino",Bauleistung,Fachstelle Beschaffungswesen Stadt Bern,"Bundesgasse 33, 3011 Bern, BE, CH",Bundesgasse 33,3011,Bern,"BE, CH",Inevo AG,"Bernstrasse-Ost 49, 5034 Suhr, AG, CH",Bernstrasse-Ost 49,5034,Suhr,"AG, CH",346447.45,,5,45214200,45214200,1,False,True,True,True,False,2026-03-01T18:49:49.047782+00:00,2026-03-01T18:49:49.047782+00:00
22972-03::1,22972-03,1,01.03.2026,01.03.2026,2026,3,Zuschlag,22972-02,6ca6375a-23be-477b-a356-48807e794c12,https://www.simap.ch/api/publications/v1/project/6ca6375a-23be-477b-a356-48807e794c12/publication-details/19a9b5ad-2746-47a4-9a73-449851aa3b5d?lang=de,https://www.simap.ch/api/publications/v1/project/6ca6375a-23be-477b-a356-48807e794c12/publication-details/19a9b5ad-2746-47a4-9a73-449851aa3b5d?lang=de,"Freibad Marzili, Gesamtsanierung und Erneuerung BKP 214 Montagebau in Holz, 214.1 Zimmerarbeiten Elementbau",Bauleistung,Fachstelle Beschaffungswesen Stadt Bern,"Bundesgasse 33, 3011 Bern, BE, CH",Bundesgasse 33,3011,Bern,"BE, CH",Wenger Holzbau AG,"Lehnweg 7, 3800 Unterseen, BE, CH",Lehnweg 7,3800,Unterseen,"BE, CH",1890054.2,,4,45422000,45422000,1,False,True,True,True,False,2026-03-01T18:49:49.118360+00:00,2026-03-01T18:49:49.118360+00:00
9056-04::1,9056-04,1,28.02.2026,28.02.2026,2026,2,Zuschlag,9056-03,57c65b50-6c62-4a32-9e70-b30a714b5c9b,https://www.simap.ch/api/publications/v1/project/57c65b50-6c62-4a32-9e70-b30a714b5c9b/publication-details/7c2bfdaf-497c-496d-b4b1-744ed60b7639?lang=de,https://www.simap.ch/api/publications/v1/project/57c65b50-6c62-4a32-9e70-b30a714b5c9b/publication-details/7c2bfdaf-497c-496d-b4b1-744ed60b7639?lang=de,"Sanierung Deponie Ritzer, Küttigen, Los 9c1",Lieferung,Gemeinde Küttigen,"Neue Stockstrasse 23, 5022 Rombach, AG, CH",Neue Stockstrasse 23,5022,Rombach,"AG, CH",PPU Umwelttechnik GmbH,"Carl-Kolb-Str. 6, 95448 Bayreuth, DE",Carl-Kolb-Str. 6,95448,Bayreuth,DE,3235269.8,,1,42996000,42996000,1,False,True,True,True,False,2026-02-28T21:25:32.655776+00:00,2026-02-28T21:25:32.655776+00:00
32501-01::1,32501-01,1,28.02.2026,28.02.2026,2026,2,direct_award,,ffbb11ec-bb11-44d7-8394-02c441cfbded,https://www.simap.ch/api/publications/v1/project/ffbb11ec-bb11-44d7-8394-02c441cfbded/publication-details/ac8b296e-bf1c-48e1-b5e5-0248bf664ea4?lang=de,https://www.simap.ch/api/publications/v1/project/ffbb11ec-bb11-44d7-8394-02c441cfbded/publication-details/ac8b296e-bf1c-48e1-b5e5-0248bf664ea4?lang=de,"Erweiterung FW und Wasserleitungsersatz Schützenstrasse, Zollikofen",Bauleistung,Einwohnergemeinde Zollikofen,"Wahlackerstrasse 25, 3052 Zollikofen, BE, CH",Wahlackerstrasse 25,3052,Zollikofen,"BE, CH",Peter Batt AG,"Dorfstrasse 19, 3073 Gümligen, BE, CH",Dorfstrasse 19,3073,Gümligen,"BE, CH",156898.5,,3,45000000,45000000,1,False,True,True,True,False,2026-02-28T21:25:32.467573+00:00,2026-02-28T21:25:32.467573+00:00
32496-01::1,32496-01,1,28.02.2026,28.02.2026,2026,2,direct_award,,6938e61b-8554-49ff-8c8f-9ed39ad53208,https://www.simap.ch/api/publications/v1/project/6938e61b-8554-49ff-8c8f-9ed39ad53208/publication-details/bf8d4432-5627-48a8-a732-a346058730e3?lang=de,https://www.simap.ch/api/publications/v1/project/6938e61b-8554-49ff-8c8f-9ed39ad53208/publication-details/bf8d4432-5627-48a8-a732-a346058730e3?lang=de,Umbau / Umnutzung Hotel Gebidem,Dienstleistung,Dorfzentrum Gebidem AG c/o Gemeinde Visperterminen (Klingele Architektur GmbH),"Kanzleiweg 8, 3932 Visperterminen, VS, CH",Kanzleiweg 8,3932,Visperterminen,"VS, CH",Gervas Heinzmann Architektur- und Bauleitungs AG,"Weinbergstrasse 13, 3970 Salgesch, VS, CH",Weinbergstrasse 13,3970,Salgesch,"VS, CH",185969.0,,5,71240000,71240000,1,False,True,True,True,False,2026-02-28T21:25:32.389650+00:00,2026-02-28T21:25:32.389650+00:00
